id,label,rank,x,y,cost,target,province,modern
50001,Abodiacum,60,10.909,47.909,0,0,Five,Germany
50002,Ad fl. Tigrim,60,42.191,37.341,0,0,Nine,Turkey
50003,Ad Publicanos,60,6.374,45.671,0,0,Two,France
50004,Ad Tricesimum,60,13.215,46.157,0,0,Four,Italy
50005,Ad Aras,60,-0.977,38.736,0,0,One,Spain
50006,Adramyttium,80,26.937,39.504,0,0,Seven,Turkey
50007,Aeclanum,80,15.01,41.062,0,0,Four,Italy
50008,Aelana,80,34.999,29.531,0,0,Nine,Jordan
50009,Aequum Tuticum,70,15.074,41.257,0,0,Four,Italy
50010,Aesernia,80,14.23,41.593,0,0,Four,Italy
50011,Aesuris,70,-7.446,37.217,0,0,One,Portugal
50012,Ara Agrippinensium,90,6.943,50.944,0,0,Two,Germany
50013,Aguntum,80,12.819,46.839,0,0,Five,Austria
50014,Ake-Ptolemais,80,35.077,32.926,0,0,Nine,Israel
50015,Alba Fucens,80,13.411,42.079,0,0,Four,Italy
50016,Albulae,70,-1.158,35.292,0,0,Eleven,Algeria
50017,Alexandria,100,29.91,31.2,0,0,Ten,Egypt
50019,Alexandria Troas,80,26.152,39.76,0,0,Seven,Turkey
50020,Altinum,80,12.407,45.542,0,0,Four,Italy
50021,Ammaedara,80,8.459,35.573,0,0,Eleven,Tunisia
50022,Ancona,90,13.518,43.615,0,0,Four,Italy
50023,Ancyra,90,32.873,39.947,0,0,Eight,Turkey
50024,Antiochia,100,36.169,36.208,0,0,Nine,Turkey
50025,Caesarea (Phrygia),90,31.18,38.301,0,0,Eight,Turkey
50026,Apamea,90,36.406,35.417,0,0,Nine,Nine
50027,Apamea (Pisidia),90,30.171,38.074,0,0,Seven,Turkey
50028,Aphroditopolis,80,31.252,29.407,0,0,Ten,Egypt
50029,Claudia Aprensis,90,27.066,40.976,0,0,Six,Turkey
50030,Apulum,90,23.59,46.067,0,0,Six,Romania
50031,Aquae Sextiae,80,5.441,43.534,0,0,Two,France
50032,Aquae Sulis,70,-2.372,51.395,0,0,Three,United Kingdom
50033,Aquae Terebellicae,70,-1.061,43.732,0,0,Two,France
50034,Aquileia,90,13.364,45.767,0,0,Four,Italy
50035,Aquincum,90,19.047,47.571,0,0,Five,Hungary
50036,Arae Philaenorum,70,18.787,30.293,0,0,Ten,Libya
50037,Arausio,80,4.809,44.137,0,0,Two,France
50038,x,6,36.039,34.534,0,0,Nine,Lebanon
50039,Archelais,80,34.048,38.384,0,0,Eight,Turkey
50040,Arelate,90,4.627,43.687,0,0,Two,France
50041,Argentorate,80,7.765,48.594,0,0,Two,France
50042,Ariminum,80,12.563,44.059,0,0,Four,Italy
50043,Arretium,90,11.862,43.47,0,0,Four,Italy
50045,Arupium,70,15.29,44.829,0,0,Five,Croatia
50046,Ascalon,90,34.546,31.669,0,0,Nine,Israel
50047,Asculum,90,13.574,42.854,0,0,Four,Italy
50048,Asturica,90,-6.049,42.462,0,0,One,Spain
50049,Aternum,80,14.213,42.464,0,0,Four,Italy
50050,Athenae,90,23.721,37.974,0,0,Seven,Greece
50051,Aufidena,60,16.193,41.335,0,0,Four,Italy
50052,Augusta Praetoria,80,7.313,45.736,0,0,Four,Italy
50053,Augusta Raurica,80,7.727,47.544,0,0,Two,Switzerland
50054,Augusta Suessionum,70,3.325,49.38,0,0,Two,France
50055,Augusta Taurinorum,80,7.686,45.069,0,0,Four,Italy
50056,Augusta Vindelicum,90,10.894,48.364,0,0,Five,Germany
50057,Augustobona,70,4.063,48.307,0,0,Two,France
50058,Augustobriga,70,-5.677,39.806,0,0,One,Spain
50059,Augustodunum,80,4.283,46.967,0,0,Two,France
50060,Auzia,80,3.685,36.148,0,0,Eleven,Algeria
50061,Avaricum,90,2.405,47.081,0,0,Two,France
50062,Aventicum,80,7.028,46.881,0,0,Two,Switzerland
50063,Bagacum,70,3.81,50.303,0,0,Two,France
50064,Banasa,80,-6.118,34.609,0,0,One,Morocco
50065,Barcino,90,2.159,41.361,0,0,One,Spain
50066,Barium,70,16.869,41.128,0,0,Four,Italy
50067,Batnae,80,38.424,36.975,0,0,Nine,Turkey
50068,Beneharnum,70,-0.436,43.332,0,0,Two,France
50069,Beneventum,90,14.761,41.137,0,0,Four,Italy
50070,Berenice,80,35.481,23.901,0,0,Ten,Egypt
50072,Beroia,80,37.152,36.219,0,0,Nine,Nine
50073,Berytus,90,35.521,33.898,0,0,Nine,Lebanon
50074,Eleutheropolis,90,34.888,31.62,0,0,Nine,Israel
50075,Bilbilis,80,-1.604,41.381,0,0,One,Spain
50076,Claudiopolis,80,31.6,40.74,0,0,Eight,Turkey
50077,Bonna,80,7.085,50.744,0,0,Two,Germany
50078,Bononia,80,11.348,44.494,0,0,Four,Italy
50079,Bononia (Moesia),80,22.895,44.007,0,0,Six,Bulgaria
50080,Bostra,90,36.484,32.517,0,0,Nine,Nine
50081,Bovianum,80,14.473,41.486,0,0,Four,Italy
50082,Bracara Augusta,90,-8.424,41.551,0,0,One,Portugal
50083,Brigantium,70,9.725,47.495,0,0,Five,Austria
50084,Flavium Brigantium,70,-8.397,43.37,0,0,One,Spain
50085,Brigetio,80,18.145,47.737,0,0,Five,Hungary
50086,Brundisium,80,17.938,40.635,0,0,Four,Italy
50087,Bulla Regia,80,8.742,36.564,0,0,Eleven,Tunisia
50088,Burdigala,90,-0.586,44.856,0,0,Two,France
50089,Burnum,80,15.996,44.009,0,0,Five,Croatia
50090,Burrio,80,-2.93,51.741,0,0,Three,United Kingdom
50091,Cabilonnum,70,4.839,46.782,0,0,Two,France
50092,Caeciliana,70,38.121,36.661,0,0,Nine,Nine
50093,Caesaraugusta,90,-0.872,41.646,0,0,One,Spain
50094,Caesarea Maritima,80,34.898,32.508,0,0,Nine,Israel
50095,Caesarea (Cappadocia),90,35.502,38.721,0,0,Eight,Turkey
50096,Caesarodunum,80,0.701,47.383,0,0,Two,France
50097,Calagurris,80,-1.966,42.303,0,0,One,Spain
50098,Calleva,80,-1.075,51.375,0,0,Three,United Kingdom
50099,Cambete,60,7.496,47.666,0,0,Two,France
50100,Cambodunum,80,10.326,47.726,0,0,Five,Germany
50101,Camulodunum,80,0.897,51.891,0,0,Three,United Kingdom
50102,Canusium,80,16.065,41.221,0,0,Four,Italy
50103,Capsa,80,8.789,34.412,0,0,Eleven,Tunisia
50104,Capua,90,14.242,41.085,0,0,Four,Italy
50105,Carnuntum,80,16.916,48.121,0,0,Five,Austria
50106,Carrhae,80,39.023,36.875,0,0,Nine,Turkey
50107,Carthago,100,10.312,36.846,0,0,Eleven,Tunisia
50108,Carthago Nova,90,-0.992,37.605,0,0,One,Spain
50109,Casinum,90,13.83,41.492,0,0,Four,Italy
50110,Castrum Truentinum,80,13.905,42.897,0,0,Four,Italy
50111,Castulo,80,-3.625,38.037,0,0,One,Spain
50112,Catabathmus Maior,80,25.159,31.562,0,0,Ten,Egypt
50113,Caudium,80,14.64,41.063,0,0,Four,Italy
50114,Celeia,80,15.264,46.234,0,0,Five,Slovenia
50115,Cenabum,80,1.915,47.909,0,0,Two,France
50116,Cetium,70,15.622,48.204,0,0,Five,Austria
50117,Chalcedon,80,29.03,40.993,0,0,Six,Turkey
50118,Cibalae,80,18.8,45.275,0,0,Five,Croatia
